"initial_block","block_transitioned_to","agegrp","sex","oud","distribution","param1","param2"
"No_Treatment","Naltrexone","55_59","Male","Active","norm",0.000414336020588713,0
"No_Treatment","Naltrexone","55_59","Male","Nonactive","norm",0,0
"No_Treatment","Naltrexone","55_59","Female","Active","norm",0.000659848210956548,0
"No_Treatment","Naltrexone","55_59","Female","Nonactive","norm",0,0
"No_Treatment","Naltrexone","60_64","Male","Active","norm",0.000366770580886855,0
"No_Treatment","Naltrexone","60_64","Male","Nonactive","norm",0,0
"No_Treatment","Naltrexone","60_64","Female","Active","norm",0.000306701423757105,0
"No_Treatment","Naltrexone","60_64","Female","Nonactive","norm",0,0
"No_Treatment","Naltrexone","65_69","Male","Active","norm",0.000462855812146667,0
"No_Treatment","Naltrexone","65_69","Male","Nonactive","norm",0,0
"No_Treatment","Naltrexone","65_69","Female","Active","norm",0.000545702578541474,0
"No_Treatment","Naltrexone","65_69","Female","Nonactive","norm",0,0
"No_Treatment","Naltrexone","70_74","Male","Active","norm",0.0010454782110475,0
"No_Treatment","Naltrexone","70_74","Male","Nonactive","norm",0,0
"No_Treatment","Naltrexone","70_74","Female","Active","norm",0.000892458664521922,0
"No_Treatment","Naltrexone","70_74","Female","Nonactive","norm",0,0
"No_Treatment","Naltrexone","75_79","Male","Active","norm",0.00195121889252448,0
"No_Treatment","Naltrexone","75_79","Male","Nonactive","norm",0,0
"No_Treatment","Naltrexone","75_79","Female","Active","norm",0.00133600514516774,0
"No_Treatment","Naltrexone","75_79","Female","Nonactive","norm",0,0
"No_Treatment","Naltrexone","80_84","Male","Active","norm",0.00308166165606061,0
"No_Treatment","Naltrexone","80_84","Male","Nonactive","norm",0,0
"No_Treatment","Naltrexone","80_84","Female","Active","norm",0.00130123599064003,0
"No_Treatment","Naltrexone","80_84","Female","Nonactive","norm",0,0
"No_Treatment","Naltrexone","85_99","Male","Active","norm",0.00346620102963091,0
"No_Treatment","Naltrexone","85_99","Male","Nonactive","norm",0,0
"No_Treatment","Naltrexone","85_99","Female","Active","norm",0.00113571821970582,0
"No_Treatment","Naltrexone","85_99","Female","Nonactive","norm",0,0
"No_Treatment","Methadone","10_14","Male","Active","norm",0.00366972064476545,0
"No_Treatment","Methadone","10_14","Male","Nonactive","norm",0,0
"No_Treatment","Methadone","10_14","Female","Active","norm",0.00638975454742441,0
"No_Treatment","Methadone","10_14","Female","Nonactive","norm",0,0
"No_Treatment","Methadone","15_19","Male","Active","norm",0.000388726914443249,0
"No_Treatment","Methadone","15_19","Male","Nonactive","norm",0,0
"No_Treatment","Methadone","15_19","Female","Active","norm",0.000540979159104782,0
"No_Treatment","Methadone","15_19","Female","Nonactive","norm",0,0
"No_Treatment","Methadone","20_24","Male","Active","norm",0.000908677811141123,0
"No_Treatment","Methadone","20_24","Male","Nonactive","norm",0,0
"No_Treatment","Methadone","20_24","Female","Active","norm",0.00162020455355205,0
"No_Treatment","Methadone","20_24","Female","Nonactive","norm",0,0
"No_Treatment","Methadone","25_29","Male","Active","norm",0.00161984703884366,0
"No_Treatment","Methadone","25_29","Male","Nonactive","norm",0,0
"No_Treatment","Methadone","25_29","Female","Active","norm",0.00281860090966746,0
"No_Treatment","Methadone","25_29","Female","Nonactive","norm",0,0
"No_Treatment","Methadone","30_34","Male","Active","norm",0.00195594405052291,0
"No_Treatment","Methadone","30_34","Male","Nonactive","norm",0,0
"No_Treatment","Methadone","30_34","Female","Active","norm",0.0026994700333276,0
"No_Treatment","Methadone","30_34","Female","Nonactive","norm",0,0
"No_Treatment","Methadone","35_39","Male","Active","norm",0.00182696021171314,0
"No_Treatment","Methadone","35_39","Male","Nonactive","norm",0,0
"No_Treatment","Methadone","35_39","Female","Active","norm",0.00207636330907257,0
"No_Treatment","Methadone","35_39","Female","Nonactive","norm",0,0
"No_Treatment","Methadone","40_44","Male","Active","norm",0.00167849201423254,0
"No_Treatment","Methadone","40_44","Male","Nonactive","norm",0,0
"No_Treatment","Methadone","40_44","Female","Active","norm",0.00208320493175895,0
"No_Treatment","Methadone","40_44","Female","Nonactive","norm",0,0
"No_Treatment","Methadone","45_49","Male","Active","norm",0.001668815511644,0
"No_Treatment","Methadone","45_49","Male","Nonactive","norm",0,0
"No_Treatment","Methadone","45_49","Female","Active","norm",0.00153328978606515,0
"No_Treatment","Methadone","45_49","Female","Nonactive","norm",0,0
"No_Treatment","Methadone","50_54","Male","Active","norm",0.00121442724813492,0
"No_Treatment","Methadone","50_54","Male","Nonactive","norm",0,0
"No_Treatment","Methadone","50_54","Female","Active","norm",0.00127884653838051,0
"No_Treatment","Methadone","50_54","Female","Nonactive","norm",0,0
"No_Treatment","Methadone","55_59","Male","Active","norm",0.00134596449097579,0
"No_Treatment","Methadone","55_59","Male","Nonactive","norm",0,0
"No_Treatment","Methadone","55_59","Female","Active","norm",0.00131926102225166,0
"No_Treatment","Methadone","55_59","Female","Nonactive","norm",0,0
"No_Treatment","Methadone","60_64","Male","Active","norm",0.00183250819113578,0
"No_Treatment","Methadone","60_64","Male","Nonactive","norm",0,0
"No_Treatment","Methadone","60_64","Female","Active","norm",0.000919822102831369,0
"No_Treatment","Methadone","60_64","Female","Nonactive","norm",0,0
"No_Treatment","Methadone","65_69","Male","Active","norm",0.00138792482909167,0
"No_Treatment","Methadone","65_69","Male","Nonactive","norm",0,0
"No_Treatment","Methadone","65_69","Female","Active","norm",0.000545702578541474,0
"No_Treatment","Methadone","65_69","Female","Nonactive","norm",0,0
"No_Treatment","Methadone","70_74","Male","Active","norm",0.0010454782110475,0
"No_Treatment","Methadone","70_74","Male","Nonactive","norm",0,0
"No_Treatment","Methadone","70_74","Female","Active","norm",0.000892458664521922,0
"No_Treatment","Methadone","70_74","Female","Nonactive","norm",0,0
"No_Treatment","Methadone","75_79","Male","Active","norm",0.00195121889252448,0
"No_Treatment","Methadone","75_79","Male","Nonactive","norm",0,0
"No_Treatment","Methadone","75_79","Female","Active","norm",0.00133600514516774,0
"No_Treatment","Methadone","75_79","Female","Nonactive","norm",0,0
"No_Treatment","Methadone","80_84","Male","Active","norm",0.00308166165606061,0
"No_Treatment","Methadone","80_84","Male","Nonactive","norm",0,0
"No_Treatment","Methadone","80_84","Female","Active","norm",0.00130123599064003,0
"No_Treatment","Methadone","80_84","Female","Nonactive","norm",0,0
"No_Treatment","Methadone","85_99","Male","Active","norm",0.00346620102963091,0
"No_Treatment","Methadone","85_99","Male","Nonactive","norm",0,0
"No_Treatment","Methadone","85_99","Female","Active","norm",0.00113571821970582,0
"No_Treatment","Methadone","85_99","Female","Nonactive","norm",0,0
"No_Treatment","Detox","10_14","Male","Active","norm",0.00366972064476545,0
"No_Treatment","Detox","10_14","Male","Nonactive","norm",0,0
"No_Treatment","Detox","10_14","Female","Active","norm",0.00638975454742441,0
"No_Treatment","Detox","10_14","Female","Nonactive","norm",0,0
"No_Treatment","Detox","15_19","Male","Active","norm",0.00271791717530867,0
"No_Treatment","Detox","15_19","Male","Nonactive","norm",0,0
"No_Treatment","Detox","15_19","Female","Active","norm",0.00270197079381107,0
"No_Treatment","Detox","15_19","Female","Nonactive","norm",0,0
"No_Treatment","Detox","20_24","Male","Active","norm",0.00537941822334953,0
"No_Treatment","Detox","20_24","Male","Nonactive","norm",0,0
"No_Treatment","Detox","20_24","Female","Active","norm",0.00504256575912509,0
"No_Treatment","Detox","20_24","Female","Nonactive","norm",0,0
"No_Treatment","Detox","25_29","Male","Active","norm",0.00561557271085378,0
"No_Treatment","Detox","25_29","Male","Nonactive","norm",0,0
"No_Treatment","Detox","25_29","Female","Active","norm",0.00415799815489004,0
"No_Treatment","Detox","25_29","Female","Nonactive","norm",0,0
"No_Treatment","Detox","30_34","Male","Active","norm",0.00525372477856034,0
"No_Treatment","Detox","30_34","Male","Nonactive","norm",0,0
"No_Treatment","Detox","30_34","Female","Active","norm",0.00346940787044137,0
"No_Treatment","Detox","30_34","Female","Nonactive","norm",0,0
"No_Treatment","Detox","35_39","Male","Active","norm",0.00488614289842482,0
"No_Treatment","Detox","35_39","Male","Nonactive","norm",0,0
"No_Treatment","Detox","35_39","Female","Active","norm",0.00299780704476615,0
"No_Treatment","Detox","35_39","Female","Nonactive","norm",0,0
"No_Treatment","Detox","40_44","Male","Active","norm",0.00464707956940713,0
"No_Treatment","Detox","40_44","Male","Nonactive","norm",0,0
"No_Treatment","Detox","40_44","Female","Active","norm",0.00269508595683321,0
"No_Treatment","Detox","40_44","Female","Nonactive","norm",0,0
"No_Treatment","Detox","45_49","Male","Active","norm",0.00378873532438762,0
"No_Treatment","Detox","45_49","Male","Nonactive","norm",0,0
"No_Treatment","Detox","45_49","Female","Active","norm",0.00212239042990314,0
"No_Treatment","Detox","45_49","Female","Nonactive","norm",0,0
"No_Treatment","Detox","50_54","Male","Active","norm",0.00323519613839662,0
"No_Treatment","Detox","50_54","Male","Nonactive","norm",0,0
"No_Treatment","Detox","50_54","Female","Active","norm",0.00162733894082057,0
"No_Treatment","Detox","50_54","Female","Nonactive","norm",0,0
"No_Treatment","Detox","55_59","Male","Active","norm",0.00248344243063814,0
"No_Treatment","Detox","55_59","Male","Nonactive","norm",0,0
"No_Treatment","Detox","55_59","Female","Active","norm",0.000989609023601234,0
"No_Treatment","Detox","55_59","Female","Nonactive","norm",0,0
"No_Treatment","Detox","60_64","Male","Active","norm",0.00183250819113578,0
"No_Treatment","Detox","60_64","Male","Nonactive","norm",0,0
"No_Treatment","Detox","60_64","Female","Active","norm",0.00122624141583993,0
"No_Treatment","Detox","60_64","Female","Nonactive","norm",0,0
"No_Treatment","Detox","65_69","Male","Active","norm",0.00138792482909167,0
"No_Treatment","Detox","65_69","Male","Nonactive","norm",0,0
"No_Treatment","Detox","65_69","Female","Active","norm",0.00109110736577878,0
"No_Treatment","Detox","65_69","Female","Nonactive","norm",0,0
"No_Treatment","Detox","70_74","Male","Active","norm",0.0010454782110475,0
"No_Treatment","Detox","70_74","Male","Nonactive","norm",0,0
"No_Treatment","Detox","70_74","Female","Active","norm",0.000892458664521922,0
"No_Treatment","Detox","70_74","Female","Nonactive","norm",0,0
"No_Treatment","Detox","75_79","Male","Active","norm",0.00195121889252448,0
"No_Treatment","Detox","75_79","Male","Nonactive","norm",0,0
"No_Treatment","Detox","75_79","Female","Active","norm",0.00133600514516774,0
"No_Treatment","Detox","75_79","Female","Nonactive","norm",0,0
"No_Treatment","Detox","80_84","Male","Active","norm",0.00615382667355879,0
"No_Treatment","Detox","80_84","Male","Nonactive","norm",0,0
"No_Treatment","Detox","80_84","Female","Active","norm",0.0026007787661767,0
"No_Treatment","Detox","80_84","Female","Nonactive","norm",0,0
"No_Treatment","Detox","85_99","Male","Active","norm",0.00346620102963091,0
"No_Treatment","Detox","85_99","Male","Nonactive","norm",0,0
"No_Treatment","Detox","85_99","Female","Active","norm",0.00113571821970582,0
"No_Treatment","Detox","85_99","Female","Nonactive","norm",0,0
"Buprenorphine","No_Treatment","10_14","Male","Active","norm",0,0
"Buprenorphine","No_Treatment","10_14","Male","Nonactive","norm",0,0
"Buprenorphine","No_Treatment","10_14","Female","Active","norm",0,0
"Buprenorphine","No_Treatment","10_14","Female","Nonactive","norm",0,0
"Buprenorphine","No_Treatment","15_19","Male","Active","norm",0,0
"Buprenorphine","No_Treatment","15_19","Male","Nonactive","norm",0,0
"Buprenorphine","No_Treatment","15_19","Female","Active","norm",0,0
"Buprenorphine","No_Treatment","15_19","Female","Nonactive","norm",0,0
"Buprenorphine","No_Treatment","20_24","Male","Active","norm",0,0
"Buprenorphine","No_Treatment","20_24","Male","Nonactive","norm",0,0
"Buprenorphine","No_Treatment","20_24","Female","Active","norm",0,0
"Buprenorphine","No_Treatment","20_24","Female","Nonactive","norm",0,0
"Buprenorphine","No_Treatment","25_29","Male","Active","norm",0,0
"Buprenorphine","No_Treatment","25_29","Male","Nonactive","norm",0,0
"Buprenorphine","No_Treatment","25_29","Female","Active","norm",0,0
"Buprenorphine","No_Treatment","25_29","Female","Nonactive","norm",0,0
"Buprenorphine","No_Treatment","30_34","Male","Active","norm",0,0
"Buprenorphine","No_Treatment","30_34","Male","Nonactive","norm",0,0
"Buprenorphine","No_Treatment","30_34","Female","Active","norm",0,0
"Buprenorphine","No_Treatment","30_34","Female","Nonactive","norm",0,0
"Buprenorphine","No_Treatment","35_39","Male","Active","norm",0,0
"Buprenorphine","No_Treatment","35_39","Male","Nonactive","norm",0,0
"Buprenorphine","No_Treatment","35_39","Female","Active","norm",0,0
"Buprenorphine","No_Treatment","35_39","Female","Nonactive","norm",0,0
"Buprenorphine","No_Treatment","40_44","Male","Active","norm",0,0
"Buprenorphine","No_Treatment","40_44","Male","Nonactive","norm",0,0
"Buprenorphine","No_Treatment","40_44","Female","Active","norm",0,0
"Buprenorphine","No_Treatment","40_44","Female","Nonactive","norm",0,0
"Buprenorphine","No_Treatment","45_49","Male","Active","norm",0,0
"Buprenorphine","No_Treatment","45_49","Male","Nonactive","norm",0,0
"Buprenorphine","No_Treatment","45_49","Female","Active","norm",0,0
"Buprenorphine","No_Treatment","45_49","Female","Nonactive","norm",0,0
"Buprenorphine","No_Treatment","50_54","Male","Active","norm",0,0
"Buprenorphine","No_Treatment","50_54","Male","Nonactive","norm",0,0
"Buprenorphine","No_Treatment","50_54","Female","Active","norm",0,0
"Buprenorphine","No_Treatment","50_54","Female","Nonactive","norm",0,0
"Buprenorphine","No_Treatment","55_59","Male","Active","norm",0,0
"Buprenorphine","No_Treatment","55_59","Male","Nonactive","norm",0,0
"Buprenorphine","No_Treatment","55_59","Female","Active","norm",0,0
"Buprenorphine","No_Treatment","55_59","Female","Nonactive","norm",0,0
"Buprenorphine","No_Treatment","60_64","Male","Active","norm",0,0
"Buprenorphine","No_Treatment","60_64","Male","Nonactive","norm",0,0
"Buprenorphine","No_Treatment","60_64","Female","Active","norm",0,0
"Buprenorphine","No_Treatment","60_64","Female","Nonactive","norm",0,0
"Buprenorphine","No_Treatment","65_69","Male","Active","norm",0,0
"Buprenorphine","No_Treatment","65_69","Male","Nonactive","norm",0,0
"Buprenorphine","No_Treatment","65_69","Female","Active","norm",0,0
"Buprenorphine","No_Treatment","65_69","Female","Nonactive","norm",0,0
"Buprenorphine","No_Treatment","70_74","Male","Active","norm",0,0
"Buprenorphine","No_Treatment","70_74","Male","Nonactive","norm",0,0
"Buprenorphine","No_Treatment","70_74","Female","Active","norm",0,0
"Buprenorphine","No_Treatment","70_74","Female","Nonactive","norm",0,0
"Buprenorphine","No_Treatment","75_79","Male","Active","norm",0,0
"Buprenorphine","No_Treatment","75_79","Male","Nonactive","norm",0,0
"Buprenorphine","No_Treatment","75_79","Female","Active","norm",0,0
"Buprenorphine","No_Treatment","75_79","Female","Nonactive","norm",0,0
"Buprenorphine","No_Treatment","80_84","Male","Active","norm",0,0
"Buprenorphine","No_Treatment","80_84","Male","Nonactive","norm",0,0
"Buprenorphine","No_Treatment","80_84","Female","Active","norm",0,0
"Buprenorphine","No_Treatment","80_84","Female","Nonactive","norm",0,0
"Buprenorphine","No_Treatment","85_99","Male","Active","norm",0,0
"Buprenorphine","No_Treatment","85_99","Male","Nonactive","norm",0,0
"Buprenorphine","No_Treatment","85_99","Female","Active","norm",0,0
"Buprenorphine","No_Treatment","85_99","Female","Nonactive","norm",0,0
"Buprenorphine","Naltrexone","10_14","Male","Active","norm",0,0
"Buprenorphine","Naltrexone","10_14","Male","Nonactive","norm",0,0
"Buprenorphine","Naltrexone","10_14","Female","Active","norm",0,0
"Buprenorphine","Naltrexone","10_14","Female","Nonactive","norm",0,0
"Buprenorphine","Naltrexone","15_19","Male","Active","norm",0,0
"Buprenorphine","Naltrexone","15_19","Male","Nonactive","norm",0,0
"Buprenorphine","Naltrexone","15_19","Female","Active","norm",0,0
"Buprenorphine","Naltrexone","15_19","Female","Nonactive","norm",0,0
"Buprenorphine","Naltrexone","20_24","Male","Active","norm",0,0
"Buprenorphine","Naltrexone","20_24","Male","Nonactive","norm",0,0
"Buprenorphine","Naltrexone","20_24","Female","Active","norm",0,0
"Buprenorphine","Naltrexone","20_24","Female","Nonactive","norm",0,0
"Buprenorphine","Naltrexone","25_29","Male","Active","norm",0,0
"Buprenorphine","Naltrexone","25_29","Male","Nonactive","norm",0,0
"Buprenorphine","Naltrexone","25_29","Female","Active","norm",0,0
"Buprenorphine","Naltrexone","25_29","Female","Nonactive","norm",0,0
"Buprenorphine","Naltrexone","30_34","Male","Active","norm",0,0
"Buprenorphine","Naltrexone","30_34","Male","Nonactive","norm",0,0
"Buprenorphine","Naltrexone","30_34","Female","Active","norm",0,0
"Buprenorphine","Naltrexone","30_34","Female","Nonactive","norm",0,0
"Buprenorphine","Naltrexone","35_39","Male","Active","norm",0,0
"Buprenorphine","Naltrexone","35_39","Male","Nonactive","norm",0,0
"Buprenorphine","Naltrexone","35_39","Female","Active","norm",0,0
"Buprenorphine","Naltrexone","35_39","Female","Nonactive","norm",0,0
"Buprenorphine","Naltrexone","40_44","Male","Active","norm",0,0
"Buprenorphine","Naltrexone","40_44","Male","Nonactive","norm",0,0
"Buprenorphine","Naltrexone","40_44","Female","Active","norm",0,0
"Buprenorphine","Naltrexone","40_44","Female","Nonactive","norm",0,0
"Buprenorphine","Naltrexone","45_49","Male","Active","norm",0,0
"Buprenorphine","Naltrexone","45_49","Male","Nonactive","norm",0,0
"Buprenorphine","Naltrexone","45_49","Female","Active","norm",0,0
"Buprenorphine","Naltrexone","45_49","Female","Nonactive","norm",0,0
"Buprenorphine","Naltrexone","50_54","Male","Active","norm",0,0
"Buprenorphine","Naltrexone","50_54","Male","Nonactive","norm",0,0
"Buprenorphine","Naltrexone","50_54","Female","Active","norm",0,0
"Buprenorphine","Naltrexone","50_54","Female","Nonactive","norm",0,0
"Buprenorphine","Naltrexone","55_59","Male","Active","norm",0,0
"Buprenorphine","Naltrexone","55_59","Male","Nonactive","norm",0,0
"Buprenorphine","Naltrexone","55_59","Female","Active","norm",0,0
"Buprenorphine","Naltrexone","55_59","Female","Nonactive","norm",0,0
"Buprenorphine","Naltrexone","60_64","Male","Active","norm",0,0
"Buprenorphine","Naltrexone","60_64","Male","Nonactive","norm",0,0
"Buprenorphine","Naltrexone","60_64","Female","Active","norm",0,0
"Buprenorphine","Naltrexone","60_64","Female","Nonactive","norm",0,0
"Buprenorphine","Naltrexone","65_69","Male","Active","norm",0,0
"Buprenorphine","Naltrexone","65_69","Male","Nonactive","norm",0,0
"Buprenorphine","Naltrexone","65_69","Female","Active","norm",0,0
"Buprenorphine","Naltrexone","65_69","Female","Nonactive","norm",0,0
"Buprenorphine","Naltrexone","70_74","Male","Active","norm",0,0
"Buprenorphine","Naltrexone","70_74","Male","Nonactive","norm",0,0
"Buprenorphine","Naltrexone","70_74","Female","Active","norm",0,0
"Buprenorphine","Naltrexone","70_74","Female","Nonactive","norm",0,0
"Buprenorphine","Naltrexone","75_79","Male","Active","norm",0,0
"Buprenorphine","Naltrexone","75_79","Male","Nonactive","norm",0,0
"Buprenorphine","Naltrexone","75_79","Female","Active","norm",0,0
"Buprenorphine","Naltrexone","75_79","Female","Nonactive","norm",0,0
"Buprenorphine","Naltrexone","80_84","Male","Active","norm",0,0
"Buprenorphine","Naltrexone","80_84","Male","Nonactive","norm",0,0
"Buprenorphine","Naltrexone","80_84","Female","Active","norm",0,0
"Buprenorphine","Naltrexone","80_84","Female","Nonactive","norm",0,0
"Buprenorphine","Naltrexone","85_99","Male","Active","norm",0,0
"Buprenorphine","Naltrexone","85_99","Male","Nonactive","norm",0,0
"Buprenorphine","Naltrexone","85_99","Female","Active","norm",0,0
"Buprenorphine","Naltrexone","85_99","Female","Nonactive","norm",0,0
"Buprenorphine","Methadone","10_14","Male","Active","norm",0,0
"Buprenorphine","Methadone","10_14","Male","Nonactive","norm",0,0
"Buprenorphine","Methadone","10_14","Female","Active","norm",0,0
"Buprenorphine","Methadone","10_14","Female","Nonactive","norm",0,0
"Buprenorphine","Methadone","15_19","Male","Active","norm",0,0
"Buprenorphine","Methadone","15_19","Male","Nonactive","norm",0,0
"Buprenorphine","Methadone","15_19","Female","Active","norm",0,0
"Buprenorphine","Methadone","15_19","Female","Nonactive","norm",0,0
"Buprenorphine","Methadone","20_24","Male","Active","norm",0,0
